t,service_id,service_name,arrival_rate,departure_rate,avg_latency_ms,queue_size,e2e_latency_ms
28.8,0,Service 0,460.0,500.0,10.514711340740917,0,10.514711340740917
29.0,0,Service 0,425.0,410.0,3.505366582404252,3,3.505366582404252
29.200000000000003,0,Service 0,465.0,470.0,5.612082459992728,2,5.612082459992728
29.400000000000002,0,Service 0,440.0,420.0,7.329600700172845,6,7.329600700172845
29.6,0,Service 0,495.0,510.0,6.199255298115743,3,6.199255298115743
29.8,0,Service 0,440.0,435.0,5.094026240021808,4,5.094026240021808
30.0,0,Service 0,380.0,400.0,6.980566026993529,0,6.980566026993529
30.200000000000003,0,Service 0,540.0,470.0,7.878719871521692,14,7.878719871521692
30.400000000000002,0,Service 0,460.0,490.0,20.536449274515853,8,20.536449274515853
30.6,0,Service 0,455.0,495.0,16.47724869850996,0,16.47724869850996
30.8,0,Service 0,440.0,435.0,2.9674831666111117,1,2.9674831666111117
31.0,0,Service 0,445.0,430.0,4.041985038370853,4,4.041985038370853
31.200000000000003,0,Service 0,370.0,360.0,2.648115269181714,6,2.648115269181714
31.400000000000002,0,Service 0,420.0,450.0,5.0131117327626304,0,5.0131117327626304
31.6,0,Service 0,350.0,345.0,2.849432050049433,1,2.849432050049433
31.8,0,Service 0,580.0,495.0,22.045273902898955,18,22.045273902898955
32.0,0,Service 0,535.0,550.0,21.63862929250706,15,21.63862929250706
32.2,0,Service 0,460.0,480.0,14.384236485395883,11,14.384236485395883
32.4,0,Service 0,475.0,485.0,34.46580214332659,9,34.46580214332659
32.6,0,Service 0,450.0,450.0,13.862873522653272,9,13.862873522653272
32.800000000000004,0,Service 0,440.0,475.0,10.73920635213043,2,10.73920635213043
33.0,0,Service 0,445.0,450.0,5.587398418222812,1,5.587398418222812
33.2,0,Service 0,425.0,430.0,6.658801823337232,0,6.658801823337232
33.4,0,Service 0,535.0,525.0,6.361884677405764,2,6.361884677405764
33.6,0,Service 0,425.0,415.0,5.328383600952742,4,5.328383600952742
33.800000000000004,0,Service 0,380.0,395.0,4.087472150418154,1,4.087472150418154
34.0,0,Service 0,455.0,425.0,3.586192882472888,7,3.586192882472888
34.2,0,Service 0,445.0,465.0,13.409138064048804,3,13.409138064048804
34.4,0,Service 0,410.0,415.0,5.6049340580479425,2,5.6049340580479425
34.6,0,Service 0,480.0,485.0,5.970086990158607,1,5.970086990158607
34.800000000000004,0,Service 0,450.0,450.0,6.02918326205655,1,6.02918326205655
35.0,0,Service 0,145.0,150.0,3.19088749814919,0,3.19088749814919
0.2,1,Service 1,0.0,0.0,,0,
0.4,1,Service 1,0.0,0.0,,0,
0.6000000000000001,1,Service 1,0.0,0.0,,0,
0.8,1,Service 1,0.0,0.0,,0,
1.0,1,Service 1,0.0,0.0,,0,
1.2000000000000002,1,Service 1,0.0,0.0,,0,
1.4000000000000001,1,Service 1,0.0,0.0,,0,
1.6,1,Service 1,0.0,0.0,,0,
1.8,1,Service 1,0.0,0.0,,0,
2.0,1,Service 1,0.0,0.0,,0,
2.2,1,Service 1,0.0,0.0,,0,
2.4000000000000004,1,Service 1,0.0,0.0,,0,
2.6,1,Service 1,0.0,0.0,,0,
2.8000000000000003,1,Service 1,0.0,0.0,,0,
3.0,1,Service 1,0.0,0.0,,0,
3.2,1,Service 1,0.0,0.0,,0,
3.4000000000000004,1,Service 1,0.0,0.0,,0,
3.6,1,Service 1,0.0,0.0,,0,
3.8000000000000003,1,Service 1,0.0,0.0,,0,
4.0,1,Service 1,0.0,0.0,,0,
4.2,1,Service 1,0.0,0.0,,0,
4.4,1,Service 1,5.0,5.0,1.0204081632654294,0,1.0204081632654294
4.6000000000000005,1,Service 1,390.0,385.0,1.474370980456454,1,1.474370980456454
4.800000000000001,1,Service 1,425.0,425.0,1.3345354379284302,1,1.3345354379284302
5.0,1,Service 1,450.0,455.0,1.5094060568460008,0,1.5094060568460008
5.2,1,Service 1,425.0,425.0,1.5686935768729955,0,1.5686935768729955
5.4,1,Service 1,445.0,445.0,1.4306409569592207,0,1.4306409569592207
5.6000000000000005,1,Service 1,460.0,440.0,1.6371438754021066,4,1.6371438754021066
5.800000000000001,1,Service 1,425.0,445.0,1.5502397641032233,0,1.5502397641032233
6.0,1,Service 1,415.0,415.0,1.2896327132917642,0,1.2896327132917642
6.2,1,Service 1,485.0,485.0,1.3194958559829144,0,1.3194958559829144
6.4,1,Service 1,425.0,420.0,1.3919110390787215,1,1.3919110390787215
6.6000000000000005,1,Service 1,360.0,360.0,1.2769178492956594,1,1.2769178492956594
6.800000000000001,1,Service 1,460.0,460.0,1.543883888611592,1,1.543883888611592
7.0,1,Service 1,470.0,475.0,1.6157865034296666,0,1.6157865034296666
7.2,1,Service 1,495.0,490.0,1.6547117411153904,1,1.6547117411153904
7.4,1,Service 1,355.0,355.0,1.3332796153210633,1,1.3332796153210633
7.6000000000000005,1,Service 1,495.0,500.0,1.352115060148078,0,1.352115060148078
7.800000000000001,1,Service 1,450.0,445.0,1.5261032725237944,1,1.5261032725237944
8.0,1,Service 1,430.0,430.0,1.2749072792187794,1,1.2749072792187794
8.200000000000001,1,Service 1,485.0,490.0,1.4575328665583347,0,1.4575328665583347
8.4,1,Service 1,380.0,375.0,1.3351088671544176,1,1.3351088671544176
8.6,1,Service 1,440.0,440.0,1.4496778324177637,1,1.4496778324177637
8.8,1,Service 1,475.0,470.0,1.408022216640527,2,1.408022216640527
9.0,1,Service 1,420.0,425.0,1.6053821171269285,1,1.6053821171269285
9.200000000000001,1,Service 1,495.0,470.0,10.798224229049726,6,10.798224229049726
9.4,1,Service 1,405.0,420.0,5.399466766498939,3,5.399466766498939
9.600000000000001,1,Service 1,425.0,430.0,8.314416605117994,2,8.314416605117994
9.8,1,Service 1,400.0,400.0,3.3327520732789218,2,3.3327520732789218
10.0,1,Service 1,500.0,500.0,5.678541775566739,2,5.678541775566739
10.200000000000001,1,Service 1,500.0,500.0,9.159776437490219,2,9.159776437490219
10.4,1,Service 1,405.0,405.0,5.20494610495315,2,5.20494610495315
10.600000000000001,1,Service 1,425.0,425.0,3.8720721433592242,2,3.8720721433592242
10.8,1,Service 1,485.0,495.0,11.196768120831786,0,11.196768120831786
11.0,1,Service 1,370.0,365.0,2.9645457876747296,1,2.9645457876747296
11.200000000000001,1,Service 1,410.0,415.0,4.269070275699579,0,4.269070275699579
11.4,1,Service 1,415.0,405.0,3.6430828077579727,2,3.6430828077579727
11.600000000000001,1,Service 1,450.0,460.0,2.9529342918699246,0,2.9529342918699246
11.8,1,Service 1,440.0,420.0,2.945857975449392,4,2.945857975449392
12.0,1,Service 1,475.0,450.0,9.115542267623924,9,9.115542267623924
12.200000000000001,1,Service 1,430.0,475.0,11.80349943190434,0,11.80349943190434
12.4,1,Service 1,445.0,420.0,5.971677387045399,5,5.971677387045399
12.600000000000001,1,Service 1,415.0,435.0,8.23749109211612,1,8.23749109211612
12.8,1,Service 1,415.0,420.0,3.9152795908570135,0,3.9152795908570135
13.0,1,Service 1,480.0,465.0,5.762534826363273,3,5.762534826363273
13.200000000000001,1,Service 1,485.0,490.0,4.4946532804514145,2,4.4946532804514145
13.4,1,Service 1,475.0,475.0,6.3116730622168715,2,6.3116730622168715
13.600000000000001,1,Service 1,445.0,450.0,5.831390841273668,1,5.831390841273668
13.8,1,Service 1,375.0,375.0,3.094471785416293,1,3.094471785416293
14.0,1,Service 1,490.0,475.0,6.3198112630887495,4,6.3198112630887495
14.200000000000001,1,Service 1,410.0,425.0,4.1951846206646835,1,4.1951846206646835
14.4,1,Service 1,415.0,420.0,3.8923247731894914,0,3.8923247731894914
14.600000000000001,1,Service 1,415.0,415.0,4.094815202469605,0,4.094815202469605
14.8,1,Service 1,460.0,460.0,3.6540490112542123,0,3.6540490112542123
15.0,1,Service 1,490.0,490.0,11.338452994223903,0,11.338452994223903
15.200000000000001,1,Service 1,385.0,380.0,3.002089143457453,1,3.002089143457453
15.4,1,Service 1,470.0,450.0,3.686527706493948,5,3.686527706493948
