source,target
s2_avg_throughput,s7_avg_queue_size
s2_avg_throughput,s8_avg_latency
s2_avg_throughput,wf2_violation_rate
s2_departure_rate,node2_cpu_usage_pct
s2_departure_rate,s3_arrival_rate
s2_departure_rate,s3_avg_throughput
s2_departure_rate,s3_departure_rate
s2_departure_rate,s4_arrival_rate
s2_departure_rate,s4_avg_latency
s2_departure_rate,s4_avg_queue_size
s2_departure_rate,s4_avg_throughput
s2_departure_rate,s4_departure_rate
s2_departure_rate,s5_arrival_rate
s2_departure_rate,s5_avg_latency
s2_departure_rate,s5_avg_queue_size
s2_departure_rate,s5_avg_throughput
s2_departure_rate,s5_departure_rate
s2_departure_rate,s6_avg_latency
s2_departure_rate,s6_avg_queue_size
s2_departure_rate,s6_avg_throughput
s2_departure_rate,s6_departure_rate
s2_departure_rate,s7_arrival_rate
s2_departure_rate,s7_avg_queue_size
s2_departure_rate,s7_departure_rate
s2_departure_rate,s8_arrival_rate
s2_departure_rate,s8_avg_latency
s2_departure_rate,s8_avg_queue_size
s2_departure_rate,s8_departure_rate
s2_departure_rate,wf0_avg_e2e_latency
s2_departure_rate,wf2_avg_e2e_latency
s3_arrival_rate,node0_cpu_usage_pct
s3_arrival_rate,node1_cpu_usage_pct
s3_arrival_rate,s3_avg_latency
s3_arrival_rate,s3_avg_queue_size
s3_arrival_rate,s3_avg_throughput
s3_arrival_rate,s3_departure_rate
s3_arrival_rate,s4_arrival_rate
s3_arrival_rate,s4_avg_queue_size
s3_arrival_rate,s4_departure_rate
s3_arrival_rate,s5_arrival_rate
s3_arrival_rate,s5_avg_latency
s3_arrival_rate,s5_avg_queue_size
s3_arrival_rate,s5_avg_throughput
s3_arrival_rate,s5_departure_rate
s3_arrival_rate,s6_arrival_rate
s3_arrival_rate,s6_avg_queue_size
s3_arrival_rate,s6_avg_throughput
s3_arrival_rate,s7_avg_queue_size
s3_arrival_rate,s7_avg_throughput
s3_arrival_rate,s8_avg_latency
s3_arrival_rate,s8_avg_throughput
s3_arrival_rate,wf1_avg_e2e_latency
s3_arrival_rate,wf1_violation_rate
s3_avg_latency,node1_cpu_usage_pct
s3_avg_latency,node2_cpu_usage_pct
s3_avg_latency,s3_avg_queue_size
s3_avg_latency,s3_avg_throughput
s3_avg_latency,s3_departure_rate
s3_avg_latency,s4_arrival_rate
s3_avg_latency,s4_departure_rate
s3_avg_latency,s5_arrival_rate
s3_avg_latency,s5_avg_queue_size
s3_avg_latency,s5_avg_throughput
s3_avg_latency,s5_departure_rate
s3_avg_latency,s6_arrival_rate
s3_avg_latency,s6_avg_latency
s3_avg_latency,s6_avg_queue_size
s3_avg_latency,s6_avg_throughput
s3_avg_latency,s7_avg_throughput
s3_avg_latency,s8_avg_queue_size
s3_avg_latency,wf1_avg_e2e_latency
s3_avg_latency,wf1_violation_rate
s3_avg_latency,wf2_avg_e2e_latency
